From vertex 0:
To vertex 1:69 (0,14,20,19,12,27,44,22,1)
To vertex 2:21 (0,14,20,48,2)
To vertex 3:40 (0,26,34,3)
To vertex 4:20 (0,26,55,59,4)
To vertex 5:25 (0,14,20,19,12,27,44,45,5)
To vertex 6:24 (0,26,25,62,6)
To vertex 7:29 (0,56,7)
To vertex 8:32 (0,14,20,19,12,27,44,45,5,63,8)
To vertex 9:9 (0,56,9)
To vertex 10:33 (0,56,9,10)
To vertex 11:46 (0,56,47,11)
To vertex 12:23 (0,14,20,19,12)
To vertex 13:1 (0,26,13)
To vertex 14:1 (0,14)
To vertex 15:40 (0,14,20,48,2,46,15)
To vertex 16:42 (0,26,25,62,16)
To vertex 17:36 (0,56,9,32,17)
To vertex 18:28 (0,14,18)
To vertex 19:19 (0,14,20,19)
To vertex 20:16 (0,14,20)
To vertex 21:42 (0,26,21)
To vertex 22:27 (0,14,20,19,12,27,44,22)
To vertex 23:53 (0,23)
To vertex 24:48 (0,14,18,24)
To vertex 25:27 (0,26,25)
To vertex 26:0 (0,26)
To vertex 27:17 (0,14,20,19,12,27)
To vertex 28:37 (0,56,47,28)
To vertex 29:63 (0,26,25,29)
To vertex 30:45 (0,26,25,62,6,30)
To vertex 31:56 (0,56,7,31)
To vertex 32:10 (0,56,9,32)
To vertex 33:20 (0,14,20,19,12,27,44,45,5,33)
To vertex 34:34 (0,26,34)
To vertex 35:25 (0,26,25,62,6,35)
To vertex 36:34 (0,56,36)
To vertex 37:26 (0,26,37)
To vertex 38:17 (0,26,38)
To vertex 39:45 (0,14,20,19,12,27,44,45,5,63,39)
To vertex 40:62 (0,14,20,19,40)
To vertex 41:20 (0,26,55,59,41)
To vertex 42:37 (0,14,42)
To vertex 43:49 (0,56,36,43)
To vertex 44:25 (0,14,20,19,12,27,44)
To vertex 45:25 (0,14,20,19,12,27,44,45)
To vertex 46:27 (0,14,20,48,2,46)
To vertex 47:12 (0,56,47)
To vertex 48:21 (0,14,20,48)
To vertex 49:27 (0,56,47,49)
To vertex 50:40 (0,14,20,19,12,27,44,50)
To vertex 51:35 (0,26,55,59,41,51)
To vertex 52:36 (0,26,55,59,41,51,52)
To vertex 53:41 (0,14,20,48,2,46,15,53)
To vertex 54:25 (0,56,9,54)
To vertex 55:14 (0,26,55)
To vertex 56:11 (0,56)
To vertex 57:50 (0,14,20,19,12,27,44,22,57)
To vertex 58:52 (0,14,18,24,58)
To vertex 59:15 (0,26,55,59)
To vertex 60:16 (0,14,60)
To vertex 61:38 (0,14,20,48,61)
To vertex 62:23 (0,26,25,62)
To vertex 63:31 (0,14,20,19,12,27,44,45,5,63)
From vertex 1:
To vertex 0:31 (1,62,48,0)
To vertex 2:28 (1,62,48,2)
To vertex 3:38 (1,62,34,3)
To vertex 4:45 (1,62,34,4)
To vertex 5:25 (1,45,5)
To vertex 6:4 (1,62,6)
To vertex 7:52 (1,62,16,15,53,57,7)
To vertex 8:32 (1,45,5,63,8)
To vertex 9:31 (1,62,9)
To vertex 10:34 (1,45,10)
To vertex 11:36 (1,62,6,11)
To vertex 12:24 (1,62,38,19,12)
To vertex 13:32 (1,62,48,0,26,13)
To vertex 14:32 (1,62,48,0,14)
To vertex 15:23 (1,62,16,15)
To vertex 16:22 (1,62,16)
To vertex 17:48 (1,62,38,19,12,27,44,22,32,17)
To vertex 18:45 (1,62,6,18)
To vertex 19:20 (1,62,38,19)
To vertex 20:26 (1,45,5,33,20)
To vertex 21:73 (1,62,48,0,26,21)
